Animal_ID,Farm_ID,Date,Breed,Parity,Days_In_Milk,Previous_Mastitis_Count,Milk_Yield_Kg,Electrical_Conductivity_mS_cm,Milk_Temperature_C,Body_Temperature_C,Rumination_Min_Day,Activity_Steps_Day,Ambient_Temp_C,Ambient_Humidity_Pct,Last_SCC_Cell_mL,CMT_Score,Mastitis_Event_In_7_14_Days
COW-001,FARM-01,2025-01-01,Holstein Friesian Cross,5,126,1,20.34,5.06,37.56,37.63,477.2,1234.0,23.6,75.2,89000,Negative,0
COW-001,FARM-01,2025-01-02,Holstein Friesian Cross,5,127,1,20.21,5.22,37.55,37.73,513.9,1148.1,25.4,74.9,151000,Negative,0
COW-001,FARM-01,2025-01-03,Holstein Friesian Cross,5,128,1,19.96,5.13,37.48,37.43,493.7,1207.6,23.6,78.4,105000,Negative,0
COW-001,FARM-01,2025-01-04,Holstein Friesian Cross,5,129,1,21.21,5.06,37.67,37.74,482.6,1198.4,24.7,75.2,151000,Negative,0
COW-001,FARM-01,2025-01-05,Holstein Friesian Cross,5,130,1,20.6,5.28,37.61,37.5,462.6,1271.7,29.5,75.8,99000,Negative,0
COW-001,FARM-01,2025-01-06,Holstein Friesian Cross,5,131,1,19.57,4.89,37.69,37.62,495.4,1270.7,25.6,74.1,146000,Negative,0
COW-001,FARM-01,2025-01-07,Holstein Friesian Cross,5,132,1,19.98,5.22,37.52,37.41,503.4,1294.8,26.2,74.4,145000,Negative,0
COW-001,FARM-01,2025-01-08,Holstein Friesian Cross,5,133,1,20.78,4.97,37.54,37.57,490.2,1177.1,22.9,78.1,117000,Negative,0
COW-001,FARM-01,2025-01-09,Holstein Friesian Cross,5,134,1,20.37,5.15,37.5,37.62,463.9,1247.8,27.6,80.3,144000,Negative,0
COW-001,FARM-01,2025-01-10,Holstein Friesian Cross,5,135,1,20.82,4.91,37.59,37.43,470.9,1220.6,27.3,76.0,106000,Negative,0
COW-001,FARM-01,2025-01-11,Holstein Friesian Cross,5,136,1,19.88,4.98,37.64,37.61,465.0,1193.4,27.5,73.9,70000,Negative,0
COW-001,FARM-01,2025-01-12,Holstein Friesian Cross,5,137,1,19.41,4.97,37.55,37.75,476.7,1145.1,29.4,74.4,119000,Negative,0
COW-001,FARM-01,2025-01-13,Holstein Friesian Cross,5,138,1,19.43,4.95,37.64,37.59,484.3,1254.8,26.6,77.2,110000,Negative,0
COW-001,FARM-01,2025-01-14,Holstein Friesian Cross,5,139,1,21.2,4.78,37.81,37.52,503.7,1229.6,28.9,77.9,149000,Negative,0
COW-001,FARM-01,2025-01-15,Holstein Friesian Cross,5,140,1,20.97,5.08,37.56,37.83,478.6,1256.3,26.0,75.8,123000,Negative,0
COW-001,FARM-01,2025-01-16,Holstein Friesian Cross,5,141,1,19.21,5.17,37.55,37.3,501.7,1258.5,26.4,77.2,139000,Negative,0
COW-001,FARM-01,2025-01-17,Holstein Friesian Cross,5,142,1,21.45,5.16,37.64,37.6,475.8,1215.7,28.6,72.1,135000,Negative,0
COW-001,FARM-01,2025-01-18,Holstein Friesian Cross,5,143,1,20.07,5.06,37.7,37.61,469.2,1244.2,27.4,76.1,156000,Negative,0
COW-001,FARM-01,2025-01-19,Holstein Friesian Cross,5,144,1,18.42,5.21,37.72,37.25,470.4,1190.0,27.1,76.5,87000,Negative,0
COW-001,FARM-01,2025-01-20,Holstein Friesian Cross,5,145,1,18.99,5.03,37.69,37.37,499.6,1258.1,27.6,73.3,210000,Trace,0
COW-001,FARM-01,2025-01-21,Holstein Friesian Cross,5,146,1,19.85,4.9,37.64,37.75,483.1,1278.5,28.0,76.0,66000,Negative,0
COW-001,FARM-01,2025-01-22,Holstein Friesian Cross,5,147,1,18.58,5.08,37.75,37.57,491.2,1159.0,29.1,75.5,133000,Negative,0
COW-001,FARM-01,2025-01-23,Holstein Friesian Cross,5,148,1,21.5,5.12,37.75,37.59,471.0,1212.4,28.8,73.9,50000,Negative,0
COW-001,FARM-01,2025-01-24,Holstein Friesian Cross,5,149,1,20.9,4.94,37.51,37.54,469.8,1279.0,26.1,69.3,136000,Negative,0
COW-001,FARM-01,2025-01-25,Holstein Friesian Cross,5,150,1,18.52,5.14,37.55,37.53,474.2,1248.0,27.2,68.7,114000,Negative,0
COW-001,FARM-01,2025-01-26,Holstein Friesian Cross,5,151,1,20.7,4.94,37.61,37.37,487.3,1255.2,26.0,80.1,158000,Negative,0
COW-001,FARM-01,2025-01-27,Holstein Friesian Cross,5,152,1,19.42,5.06,37.47,37.44,473.7,1258.3,27.7,77.6,50000,Negative,0
COW-001,FARM-01,2025-01-28,Holstein Friesian Cross,5,153,1,19.15,5.3,37.44,37.67,480.1,1247.5,27.3,76.4,205000,Trace,0
COW-001,FARM-01,2025-01-29,Holstein Friesian Cross,5,154,1,19.74,5.03,37.54,37.57,475.0,1227.4,29.1,78.8,95000,Negative,0
COW-001,FARM-01,2025-01-30,Holstein Friesian Cross,5,155,1,19.25,5.33,37.57,37.61,493.1,1382.7,28.1,77.0,158000,Negative,0
COW-001,FARM-01,2025-01-31,Holstein Friesian Cross,5,156,1,20.11,5.19,37.7,37.66,469.7,1248.5,31.3,74.7,138000,Negative,0
COW-001,FARM-01,2025-02-01,Holstein Friesian Cross,5,157,1,20.07,4.94,37.51,37.59,474.7,1220.4,30.8,74.9,58000,Negative,0
COW-001,FARM-01,2025-02-02,Holstein Friesian Cross,5,158,1,18.68,5.27,37.73,37.47,484.8,1162.0,30.9,70.0,173000,Negative,0
COW-001,FARM-01,2025-02-03,Holstein Friesian Cross,5,159,1,20.66,4.82,37.79,37.64,510.5,1211.6,30.0,73.2,139000,Negative,0
COW-001,FARM-01,2025-02-04,Holstein Friesian Cross,5,160,1,20.14,5.21,37.49,37.67,472.3,1274.8,27.2,73.8,50000,Negative,0
COW-001,FARM-01,2025-02-05,Holstein Friesian Cross,5,161,1,19.27,5.01,37.56,37.63,500.0,1243.9,25.9,73.0,66000,Negative,0
COW-001,FARM-01,2025-02-06,Holstein Friesian Cross,5,162,1,19.21,5.34,37.62,37.71,490.1,1314.6,24.7,76.5,139000,Negative,0
COW-001,FARM-01,2025-02-07,Holstein Friesian Cross,5,163,1,19.15,4.91,37.69,37.46,481.7,1241.3,29.9,73.2,137000,Negative,0
COW-001,FARM-01,2025-02-08,Holstein Friesian Cross,5,164,1,18.04,5.06,37.71,37.78,482.8,1323.0,27.7,73.7,84000,Negative,0
COW-001,FARM-01,2025-02-09,Holstein Friesian Cross,5,165,1,19.08,4.89,37.74,37.69,456.5,1277.6,28.8,69.3,142000,Negative,0
COW-001,FARM-01,2025-02-10,Holstein Friesian Cross,5,166,1,18.95,5.17,37.35,37.76,486.1,1201.3,31.2,69.3,108000,Negative,0
COW-001,FARM-01,2025-02-11,Holstein Friesian Cross,5,167,1,19.28,5.05,37.68,37.48,469.2,1207.7,30.3,73.7,177000,Negative,0
COW-001,FARM-01,2025-02-12,Holstein Friesian Cross,5,168,1,19.1,5.01,37.53,37.44,492.2,1192.4,29.3,72.0,97000,Negative,0
COW-001,FARM-01,2025-02-13,Holstein Friesian Cross,5,169,1,17.99,5.04,37.77,37.55,462.8,1210.2,29.3,68.3,187000,Negative,0
COW-001,FARM-01,2025-02-14,Holstein Friesian Cross,5,170,1,19.05,5.21,37.48,37.53,483.6,1308.0,28.0,72.6,177000,Negative,0
COW-001,FARM-01,2025-02-15,Holstein Friesian Cross,5,171,1,18.89,5.11,37.76,37.7,488.6,1246.7,31.0,75.8,156000,Negative,0
COW-001,FARM-01,2025-02-16,Holstein Friesian Cross,5,172,1,18.73,5.0,37.52,37.64,472.1,1209.1,32.0,67.9,139000,Negative,0
COW-001,FARM-01,2025-02-17,Holstein Friesian Cross,5,173,1,19.15,5.23,37.69,37.76,476.7,1257.9,30.8,70.5,50000,Negative,0
COW-001,FARM-01,2025-02-18,Holstein Friesian Cross,5,174,1,19.37,5.23,37.6,37.49,509.4,1296.6,30.0,73.5,124000,Negative,0
COW-001,FARM-01,2025-02-19,Holstein Friesian Cross,5,175,1,19.1,5.19,37.62,37.68,457.0,1282.8,31.6,76.7,168000,Negative,0
COW-001,FARM-01,2025-02-20,Holstein Friesian Cross,5,176,1,18.24,5.02,37.54,37.34,457.9,1280.4,30.9,71.8,201000,Trace,0
COW-001,FARM-01,2025-02-21,Holstein Friesian Cross,5,177,1,19.58,4.97,37.52,37.73,510.3,1241.2,28.6,75.8,123000,Negative,0
COW-001,FARM-01,2025-02-22,Holstein Friesian Cross,5,178,1,18.09,5.02,37.47,37.34,486.0,1217.3,31.8,73.0,140000,Negative,0
